OGS2	OGS1	Apyrene	Eupyrene	AE	Uniprot_Function	X	Manduca_Sperm	Dmel_Spermo	Function	Manduca_homolog	Dmel_homologs
DPOGS210548	DPOGS100158	FALSE	TRUE	TRUE	Putative choline o-acyltransferase	NA	NA	NA	choline o-acyltransferase	NA	NA
DPOGS210552	DPOGS121410	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04248	FBgn0038163	PREDICTED: uncharacterized protein LOC101740137	NA	NA
DPOGS210648	DPOGS118332	TRUE	TRUE	TRUE	Ferrochelatase	NA	NA	NA	putative ferrochelatase	Msex2.13808	FBgn0266268
DPOGS210661	DPOGS102647	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02647	Msex2.12808	NA
DPOGS210662	DPOGS120546	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02648	Msex2.02110	FBgn0000454
DPOGS210664	DPOGS120548	FALSE	TRUE	TRUE	Hatching enzyme	NA	NA	NA	hatching enzyme	Msex2.12808	FBgn0039180
DPOGS210672	DPOGS108863	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09336	FBgn0034816	hypothetical protein KGM_08863	NA	NA
DPOGS210682	DPOGS111595	FALSE	TRUE	TRUE	Amyloid beta A4 protein	NA	NA	NA	amyloid beta a4 protein	Msex2.13440	FBgn0031564
DPOGS210700	DPOGS107984	TRUE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.02432	NA	hypothetical protein KGM_07984	NA	FBgn0001230
DPOGS210708	DPOGS114531	TRUE	TRUE	TRUE	Putative farnesoic acid O-methyl transferase	NA	NA	NA	farnesoic acid o-methyl transferase	Msex2.02440	FBgn0033787
DPOGS210715	DPOGS121053	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS210743	DPOGS101805	FALSE	TRUE	TRUE	Putative collagen alpha-2	NA	NA	NA	collagen alpha-2 precursor	Msex2.02443	FBgn0000299
DPOGS210790	DPOGS117729	FALSE	TRUE	FALSE	Putative hydroxyacyl glutathione hydrolase	1	Msex2.11589	NA	hydroxyacyl glutathione hydrolase	NA	FBgn0037024
DPOGS210800	DPOGS112988	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04660	NA	hypothetical protein KGM_12988	NA	NA
DPOGS210806	DPOGS116016	TRUE	TRUE	TRUE	Uncharacterized protein	0.5	Msex2.04652	FBgn0037862	aconitate mitochondrial-like	NA	FBgn0010100
DPOGS210821	DPOGS106591	TRUE	TRUE	TRUE	Putative sulfide quinone reductase	1	Msex2.06427	NA	sulfide quinone reductase	NA	FBgn0035515
DPOGS210830	DPOGS110957	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10957	NA	NA
DPOGS210866	DPOGS112987	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.04661	NA	hypothetical protein KGM_12987	NA	NA
DPOGS210891	DPOGS119688	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00265	NA	hypothetical protein KGM_19688	NA	FBgn0036348
DPOGS210924	DPOGS111759	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_11759	Msex2.00281	NA
DPOGS210934	DPOGS119709	TRUE	FALSE	FALSE	Putative fragile site-associated protein	NA	NA	FBgn0261671	hypothetical protein KGM_19707	Msex2.00264	NA
DPOGS210951	DPOGS119463	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00609	NA	hypothetical protein KGM_19463	NA	FBgn0037671
DPOGS210956	DPOGS112327	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00617	FBgn0038960	hypothetical protein KGM_12327	NA	NA
DPOGS210981	DPOGS110937	FALSE	TRUE	FALSE	Serine protease-like protein	NA	NA	NA	serine protease-like protein	Msex2.12491	FBgn0036436
DPOGS210982	DPOGS110938	TRUE	TRUE	TRUE	Serine protease like protein	NA	NA	NA	serine protease like protein	Msex2.12488	FBgn0031619
DPOGS211012	DPOGS119452	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19452	Msex2.03488	FBgn0263974
DPOGS211019	DPOGS119459	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19459	Msex2.00605	FBgn0052436
DPOGS211021	DPOGS106945	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00600	NA	hypothetical protein KGM_06945	NA	NA
DPOGS211065	DPOGS107525	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07525	NA	NA
DPOGS211068	DPOGS108038	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	Msex2.01765	NA
DPOGS211069	DPOGS101946	FALSE	TRUE	TRUE	Putative proton-coupled amino acid transporter 1	1	Msex2.01762	NA	proton-coupled amino acid transporter	NA	FBgn0263776
DPOGS211070	DPOGS106625	FALSE	FALSE	TRUE	Ryanodine receptor	NA	NA	FBgn0011286	ryanodine receptor	Msex2.01767	NA
DPOGS211075	DPOGS115074	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	PREDICTED: uncharacterized protein LOC101744763	Msex2.06535	NA
DPOGS211080	DPOGS100028	TRUE	FALSE	FALSE	Chitin synthase	NA	NA	NA	chitin synthase	Msex2.14283	FBgn0001311
DPOGS211101	DPOGS122447	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22447	NA	NA
DPOGS211102	DPOGS122447	FALSE	FALSE	TRUE	Uncharacterized protein	1	Msex2.10356	NA	hypothetical protein KGM_22447	NA	NA
DPOGS211107	DPOGS109740	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09740	Msex2.11647	NA
DPOGS211175	DPOGS101646	TRUE	TRUE	TRUE	Putative hydrocephalus inducing	1	Msex2.11152	NA	hydrocephalus inducing	NA	NA
DPOGS211176	DPOGS101647	TRUE	TRUE	TRUE	Transmembrane BAX inhibitor motif-containing protein 5	0.5	Msex2.11150	NA	transmembrane bax inhibitor motif-containing protein 5	NA	FBgn0037506
DPOGS211186	DPOGS102030	FALSE	TRUE	TRUE	Putative CBR-EAT-6 protein	NA	NA	NA	cbr-eat-6 protein	Msex2.09855	FBgn0002921
DPOGS211202	DPOGS122440	TRUE	TRUE	TRUE	"Putative dynein beta chain, ciliary"	NA	NA	NA	dynein beta ciliary	NA	NA
DPOGS211203	DPOGS122440	TRUE	TRUE	TRUE	"Putative dynein beta chain, ciliary"	NA	NA	NA	dynein beta ciliary	Msex2.08745	FBgn0013811
DPOGS211204	DPOGS122440	TRUE	TRUE	TRUE	"Putative dynein beta chain, ciliary"	1	Msex2.06577	NA	dynein beta ciliary	NA	NA
DPOGS211216	DPOGS112051	FALSE	TRUE	TRUE	V-type proton ATPase subunit d	NA	NA	NA	v-type proton atpase subunit d	Msex2.10072	FBgn0028665
DPOGS211221	DPOGS100019	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.10083	NA	protein anon-37c	NA	FBgn0002036
DPOGS211232	DPOGS114676	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14676	Msex2.06595	NA
DPOGS211280	DPOGS107186	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	molybdenum cofactor sulfurase	Msex2.10209	FBgn0002641
DPOGS211321	DPOGS107138	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS211341	DPOGS122135	TRUE	TRUE	TRUE	Putative cuticle protein	1	Msex2.00440	NA	hypothetical protein KGM_05785	NA	NA
DPOGS211353	DPOGS110105	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	putative Uncharacterized protein C20orf26	Msex2.00450	FBgn0050268
DPOGS211354	DPOGS110106	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00451	NA	hypothetical protein KGM_10106	NA	NA
DPOGS211363	DPOGS110110	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10110	Msex2.00452	NA
DPOGS211366	DPOGS105791	TRUE	FALSE	FALSE	Putative PHD finger protein 10	NA	NA	NA	phd finger protein 10	Msex2.00435	FBgn0087008
DPOGS211368	DPOGS105793	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.00431	NA	hypothetical protein KGM_04164	NA	FBgn0050268
DPOGS211424	DPOGS115919	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15919	Msex2.15261	NA
DPOGS211429	DPOGS119444	TRUE	TRUE	TRUE	Alpha-tubulin	NA	NA	NA	alpha-tubulin	Msex2.07096	FBgn0003884
DPOGS211437	DPOGS103737	TRUE	TRUE	TRUE	Thiol peroxiredoxin	1	Msex2.01475	NA	thiol peroxiredoxin	NA	FBgn0040309
DPOGS211475	DPOGS117439	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11940	FBgn0016687	hypothetical protein KGM_17439	NA	NA
DPOGS211492	DPOGS110781	TRUE	TRUE	TRUE	Pyruvate dehydrogenase	1	Msex2.09233	FBgn0039635	pyruvate dehydrogenase	NA	NA
DPOGS211498	DPOGS110673	FALSE	TRUE	TRUE	Putative phosphatidylethanolamine-binding protein isoform 1	1	Msex2.10797	NA	phosphatidylethanolamine-binding protein isoform 1	NA	FBgn0032453
DPOGS211519	DPOGS113136	TRUE	TRUE	TRUE	Putative dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase	1	Msex2.10779	FBgn0037891	dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase	NA	NA
DPOGS211536	DPOGS109218	FALSE	TRUE	FALSE	Receptor expression enhancing protein isoform 2	1	Msex2.01518	NA	receptor expression enhancing protein isoform 2	NA	FBgn0033906
DPOGS211545	DPOGS111472	FALSE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.04176	FBgn0031392	hypothetical protein KGM_11472	NA	NA
DPOGS211581	DPOGS105975	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS211585	DPOGS105976	TRUE	TRUE	TRUE	"Putative dynein, axonemal, light intermediate chain 1"	1	Msex2.00575	FBgn0037962	light intermediate chain 1	NA	NA
DPOGS211597	DPOGS120502	TRUE	TRUE	TRUE	Malic enzyme	1	Msex2.05836	NA	hypothetical protein KGM_20502	NA	FBgn0029155
DPOGS211602	DPOGS101506	TRUE	TRUE	TRUE	Uncharacterized protein	0.5	Msex2.07197	FBgn0029890	hypothetical protein KGM_01506	NA	FBgn0028336
DPOGS211615	DPOGS101507	TRUE	TRUE	TRUE	"Putative NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial"	0.146	Msex2.06050	FBgn0017566	nadh-ubiquinone oxidoreductase 75 kda mitochondrial precursor	Msex2.05350	NA
DPOGS211617	DPOGS101509	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS211649	DPOGS120285	FALSE	TRUE	FALSE	Lysophospholipase	1	Msex2.10342	NA	lysophospholipase	NA	FBgn0042138
DPOGS211657	DPOGS122545	FALSE	TRUE	TRUE	Epimerase family protein SDR39U1	1	Msex2.10329	NA	epimerase family protein sdr39u1	NA	FBgn0033769
DPOGS211662	DPOGS111541	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	aldo-keto reductase	Msex2.05952	FBgn0036290
DPOGS211665	DPOGS117520	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_04161	Msex2.05962	FBgn0034025
DPOGS211678	DPOGS103426	FALSE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.05946	FBgn0260442	putative Talin-2	NA	NA
DPOGS211696	DPOGS119522	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08323	NA	hypothetical protein KGM_19522	NA	NA
DPOGS211755	DPOGS119036	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19036	NA	NA
DPOGS211771	DPOGS109970	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09970	Msex2.05860	FBgn0032248
DPOGS211775	DPOGS108096	TRUE	TRUE	TRUE	Putative cAMP-dependent protein kinase catalytic subunit	1	Msex2.05863	NA	camp-dependent protein kinase catalytic subunit	NA	FBgn0031784
DPOGS211789	DPOGS107066	TRUE	TRUE	TRUE	cAMP-dependent protein kinase R2	1	Msex2.05857	NA	camp-dependent protein kinase r2	NA	FBgn0022382
DPOGS211801	DPOGS109984	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_09983	Msex2.13427	NA
DPOGS211811	DPOGS121973	FALSE	TRUE	TRUE	Putative slender lobes protein	0.333	Msex2.13702	NA	slender lobes protein	NA	FBgn0027287
DPOGS211851	DPOGS105448	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05448	Msex2.13877	FBgn0037626
DPOGS211893	DPOGS102261	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02261	Msex2.04541	NA
DPOGS211948	DPOGS102785	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06817	NA	hypothetical protein KGM_02785	NA	FBgn0037001
DPOGS211962	DPOGS105419	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05419	Msex2.06801	FBgn0261800
DPOGS211980	DPOGS105436	TRUE	TRUE	TRUE	Ubiquinol-cytochrome c reductase complex	NA	NA	NA	ubiquinol-cytochrome c reductase complex	Msex2.13444	FBgn0036728
DPOGS211988	DPOGS105289	FALSE	TRUE	TRUE	Putative postsynaptic protein CRIPT	NA	NA	NA	postsynaptic protein cript	NA	NA
DPOGS211996	DPOGS120879	TRUE	TRUE	TRUE	ATP synthase subunit beta (EC 3.6.3.14)	NA	NA	NA	atp synthase subunit mitochondrial-like	NA	NA
DPOGS212039	DPOGS108960	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01744	FBgn0036702	hypothetical protein KGM_08960	NA	NA
DPOGS212056	DPOGS122359	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_22359	Msex2.13954	NA
DPOGS212075	DPOGS116950	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.09611	NA	PREDICTED: uncharacterized protein LOC101741035	NA	NA
DPOGS212130	DPOGS110345	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06194	NA	hypothetical protein KGM_10345	NA	NA
DPOGS212145	DPOGS102847	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_02847	Msex2.04332	FBgn0039747
DPOGS212200	DPOGS119921	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.05665	NA	hypothetical protein KGM_19921	NA	NA
DPOGS212294	DPOGS110692	FALSE	TRUE	TRUE	Transmembrane serine protease 9	NA	NA	NA	transmembrane serine protease 9	Msex2.04042	FBgn0027930
DPOGS212299	DPOGS118084	TRUE	TRUE	TRUE	Putative cyclophilin-9	1	Msex2.08824	NA	putative cyclophilin-9	NA	FBgn0033089
DPOGS212340	DPOGS110294	FALSE	FALSE	TRUE	Subunit VIb of cytochrome c oxidase	NA	NA	NA	subunit vib of cytochrome c oxidase	NA	FBgn0031066
DPOGS212342	DPOGS110296	TRUE	TRUE	TRUE	Uncharacterized protein	0.4	Msex2.12338	FBgn0052820	low quality protein: tektin-3-like	NA	NA
DPOGS212360	DPOGS110316	FALSE	TRUE	TRUE	Putative fatty acid synthase	NA	NA	NA	fatty acid synthase	Msex2.11718	FBgn0027571
DPOGS212363	DPOGS110317	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS212365	DPOGS110320	FALSE	TRUE	TRUE	Proteasome subunit alpha type (EC 3.4.25.1)	0.5	Msex2.11721	NA	proteasome subunit alpha type 6-a	NA	FBgn0263121
DPOGS212413	DPOGS101784	TRUE	FALSE	TRUE	"Putative dynein light chain 4, axonemal"	1	Msex2.04508	NA	dynein light chain axonemal	NA	FBgn0033687
DPOGS212419	DPOGS102932	TRUE	TRUE	TRUE	Putative thioredoxin reductase isoform 2	0.5	Msex2.04501	NA	thioredoxin reductase isoform 2	NA	FBgn0020653
DPOGS212420	DPOGS102933	TRUE	TRUE	TRUE	Putative WD repeat domain 66	1	Msex2.04499	NA	wd repeat domain 66	NA	NA
DPOGS212452	DPOGS105378	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_05378	Msex2.00281	NA
DPOGS212456	DPOGS111369	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS212495	DPOGS121655	FALSE	TRUE	TRUE	Putative cytoplasmic dynein light chain	1	Msex2.11429	NA	cytoplasmic dynein light chain	NA	FBgn0024432
DPOGS212499	DPOGS117209	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_17209	NA	NA
DPOGS212507	NA	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
DPOGS212509	DPOGS106769	TRUE	TRUE	TRUE	Putative coiled-coil domain containing 13	1	Msex2.10183	NA	coiled-coil domain containing 13	NA	FBgn0036652
DPOGS212546	DPOGS121132	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_21132	Msex2.11964	FBgn0263776
DPOGS212563	DPOGS114030	TRUE	TRUE	TRUE	Enolase (EC 4.2.1.11)	1	Msex2.06012	NA	enolase ii	NA	FBgn0000579
DPOGS212566	DPOGS114032	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_14032	NA	NA
DPOGS212567	DPOGS114032	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.03697	NA	hypothetical protein KGM_14032	NA	FBgn0031545
DPOGS212574	DPOGS114039	TRUE	TRUE	TRUE	Lethal neo18 protein	NA	NA	NA	lethal neo18 protein	Msex2.06054	FBgn0011455
DPOGS212589	DPOGS111680	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	malate dehydrogenase	Msex2.02939	FBgn0262559
DPOGS212621	DPOGS112166	TRUE	TRUE	TRUE	Putative testis-specific protein A2	0.333	Msex2.02950	FBgn0032478	testis-specific protein a2	NA	NA
DPOGS212658	DPOGS115339	FALSE	FALSE	TRUE	Uncharacterized protein	1	Msex2.04726	NA	hypothetical protein KGM_15339	NA	FBgn0034507
DPOGS212679	DPOGS115337	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15337	Msex2.04725	NA
DPOGS212715	DPOGS108636	TRUE	FALSE	FALSE	Cyclic-nucleotide-gated cation channel	NA	NA	NA	cyclic-nucleotide-gated cation channel	Msex2.10102	FBgn0263257
DPOGS212742	DPOGS108646	TRUE	TRUE	TRUE	Putative testis spermatogenesis apoptosis-related protein 6	NA	NA	NA	testis spermatogenesis apoptosis-related protein 6	Msex2.03041	FBgn0031322
DPOGS212773	DPOGS108683	FALSE	FALSE	TRUE	14-3-3 epsilon protein	NA	NA	NA	14-3-3 epsilon protein	Msex2.04343	FBgn0020238
DPOGS212774	DPOGS108685	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08685	Msex2.04342	FBgn0029861
DPOGS212775	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	heat shock protein 70-3	Msex2.04340	FBgn0013276
DPOGS212876	DPOGS120415	TRUE	TRUE	TRUE	Putative radial spokehead-like 3	0.333	Msex2.00871	FBgn0034957	radial spokehead-like 3	NA	NA
DPOGS212901	DPOGS110699	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10699	Msex2.02137	NA
DPOGS212968	DPOGS111079	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS212973	DPOGS115834	TRUE	TRUE	TRUE	Cytochrome c1	1	Msex2.03495	NA	cytochrome c1	NA	FBgn0035600
DPOGS213028	DPOGS100014	TRUE	TRUE	TRUE	GTP binding protein	NA	NA	NA	gtp binding protein	Msex2.05496	FBgn0030151
DPOGS213052	DPOGS116576	FALSE	FALSE	TRUE	Putative serine-type enodpeptidase	NA	NA	NA	serine-type enodpeptidase	Msex2.14030	FBgn0038485
DPOGS213075	DPOGS107560	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_07560	Msex2.01886	FBgn0032176
DPOGS213087	NA	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	Msex2.13890	NA
DPOGS213090	DPOGS122478	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	FBgn0003392	hypothetical protein KGM_22478	Msex2.13816	NA
DPOGS213094	DPOGS117217	TRUE	TRUE	TRUE	Uncharacterized protein	0.333	Msex2.14160	NA	hypothetical protein KGM_17217	NA	NA
DPOGS213101	DPOGS104971	FALSE	FALSE	TRUE	Putative Collagen alpha-1(XI) chain	NA	NA	NA	collagen alpha-1 chain precursor	Msex2.11553	FBgn0000299
DPOGS213109	DPOGS117225	FALSE	TRUE	TRUE	Putative serine protease	NA	NA	NA	serine protease	Msex2.03998	FBgn0040060
DPOGS213119	DPOGS116496	TRUE	TRUE	TRUE	Putative NADH-ubiquinone oxidoreductase ashi subunit	0.5	Msex2.14166	FBgn0029888	nadh-ubiquinone oxidoreductase ashi subunit	NA	NA
DPOGS213134	DPOGS106818	FALSE	FALSE	TRUE	Putative hect domain and RCC1-like domain 2	NA	NA	NA	hypothetical protein KGM_11261	Msex2.13162	FBgn0031107
DPOGS213223	DPOGS115998	TRUE	FALSE	FALSE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_15998	Msex2.12314	FBgn0034975
DPOGS213237	DPOGS106879	TRUE	TRUE	TRUE	Pyruvate dehydrogenase	1	Msex2.07271	FBgn0028325	pyruvate dehydrogenase	NA	NA
DPOGS213255	DPOGS119769	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07263	NA	hypothetical protein KGM_19769	NA	NA
DPOGS213309	DPOGS101932	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.03019	NA	hypothetical protein KGM_01932	NA	NA
DPOGS213336	DPOGS111978	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_11978	Msex2.08890	NA
DPOGS213345	DPOGS117780	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.06078	NA	hypothetical protein KGM_17780	NA	FBgn0037162
DPOGS213365	DPOGS108537	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_08537	NA	NA
DPOGS213366	DPOGS108539	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01835	NA	hypothetical protein KGM_08539	NA	NA
DPOGS213370	DPOGS120583	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01836	NA	hypothetical protein KGM_20582	NA	NA
DPOGS213378	DPOGS118843	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_18843	Msex2.09559	NA
DPOGS213379	DPOGS118844	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_18844	Msex2.09560	NA
DPOGS213385	DPOGS117287	TRUE	TRUE	TRUE	Beta-tubulin	0.6	Msex2.06073	FBgn0003889	beta-tubulin	NA	FBgn0003887
DPOGS213386	DPOGS117288	FALSE	TRUE	TRUE	Beta-tubulin	NA	NA	NA	beta-tubulin	NA	FBgn0003887
DPOGS213388	DPOGS117773	TRUE	FALSE	TRUE	Beta-tubulin	0.115	Msex2.01816	FBgn0003888	beta-tubulin	Msex2.06075	NA
DPOGS213396	DPOGS111985	FALSE	FALSE	TRUE	Oxysterol-binding protein	NA	NA	NA	oxysterol-binding protein 3	Msex2.06085	NA
DPOGS213430	DPOGS111591	TRUE	TRUE	TRUE	Trypsin	NA	NA	NA	serine protease prss22	Msex2.05941	FBgn0034661
DPOGS213431	DPOGS111591	TRUE	TRUE	TRUE	Trypsin	1	Msex2.05941	NA	trypsin	NA	NA
DPOGS213436	DPOGS113341	FALSE	FALSE	TRUE	Putative boophilin-like protein	0.333	Msex2.02986	NA	boophilin-like protein	NA	FBgn0003137
DPOGS213461	DPOGS119881	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19881	NA	FBgn0034518
DPOGS213462	DPOGS118901	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13962	FBgn0032511	hypothetical protein KGM_18901	NA	NA
DPOGS213463	DPOGS121441	TRUE	FALSE	FALSE	Uncharacterized protein	1	Msex2.13964	NA	enoyl- hydratase	NA	FBgn0038049
DPOGS213472	DPOGS110817	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_10817	Msex2.11473	NA
DPOGS213476	DPOGS118535	FALSE	TRUE	FALSE	Transcription elongation factor B polypeptide 1	1	Msex2.13316	NA	transcription elongation factor b polypeptide 1	NA	FBgn0266711
DPOGS213489	DPOGS110821	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_01330	Msex2.11476	NA
DPOGS213540	DPOGS103223	FALSE	FALSE	TRUE	Putative GTP-binding protein	NA	NA	NA	gtp-binding protein	Msex2.02369	FBgn0034243
DPOGS213555	DPOGS112936	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_12936	Msex2.02346	NA
DPOGS213611	DPOGS106036	FALSE	TRUE	TRUE	Putative Aminopeptidase N	1	Msex2.02406	FBgn0261243	aminopeptidase n precursor	NA	NA
DPOGS213623	DPOGS102739	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.08000	NA	hypothetical protein KGM_02739	NA	FBgn0002921
DPOGS213654	DPOGS114068	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS213656	DPOGS110007	TRUE	TRUE	TRUE	Pyruvate kinase (EC 2.7.1.40)	1	Msex2.02915	NA	hypothetical protein KGM_10007	NA	FBgn0003178
DPOGS213659	DPOGS116510	FALSE	FALSE	TRUE	Uncharacterized protein	NA	NA	FBgn0052392	hypothetical protein KGM_03735	Msex2.13850	NA
DPOGS213678	DPOGS100095	FALSE	TRUE	TRUE	NADH dehydrogenase [ubiquinone] 1 subunit C2	1	Msex2.08347	NA	hypothetical protein KGM_00095	NA	FBgn0031505
DPOGS213683	DPOGS104467	FALSE	TRUE	TRUE	Putative fatbody protein 3Rev-G1	NA	NA	NA	fatbody protein 3rev-g1	Msex2.14424	FBgn0053998
DPOGS213744	DPOGS113452	TRUE	TRUE	TRUE	Calmodulin-binding protein trpl	NA	NA	FBgn0005614	calmodulin-binding protein trpl	Msex2.00017	NA
DPOGS213746	DPOGS104149	FALSE	TRUE	TRUE	Putative proteasome subunit alpha type	1	Msex2.00021	NA	proteasome subunit alpha type	NA	FBgn0250843
DPOGS213812	DPOGS107938	FALSE	TRUE	FALSE	Uncharacterized protein	NA	NA	NA	serine threonine-protein kinase tousled-like 2-like isoform x2	Msex2.01289	FBgn0086899
DPOGS213829	DPOGS104132	FALSE	FALSE	TRUE	Acylphosphatase (EC 3.6.1.7)	NA	NA	NA	hypothetical protein KGM_04132	Msex2.04817	FBgn0038363
DPOGS213831	DPOGS104134	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02642	NA	hypothetical protein KGM_04134	NA	FBgn0019886
DPOGS213870	DPOGS118782	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.11631	NA	hypothetical protein KGM_18782	NA	NA
